Start Date,Start Hour,holiday_ind,Weekend,Prev_value,Energy_per_hour
1/21/2019,15,1,0,10.51786765,3.445333333
1/21/2019,17,1,0,2.205217391,1.73184
1/22/2019,6,0,0,4.287457627,5.424878049
1/22/2019,7,0,0,6.483333333,6.974294871
1/22/2019,8,0,0,7.939657181,6.572718922
1/22/2019,9,0,0,11.31150294,5.515330627
1/22/2019,10,0,0,3.389577465,10.12606656
1/22/2019,12,0,0,8.864927211,9.586913908
1/22/2019,13,0,0,7.136211234,11.46285649
1/22/2019,14,0,0,15.63017967,9.029904092
1/22/2019,15,0,0,3.445333333,3.935294118
1/22/2019,17,0,0,1.73184,2.245714286
1/22/2019,18,0,0,1.937075718,3.449174312
1/22/2019,19,0,0,7.437405583,13.97675152
1/22/2019,20,0,0,3.547338129,6.186553846
1/23/2019,4,0,0,4.976385542,13.38209302
1/23/2019,5,0,0,7.015813953,8.396
1/23/2019,6,0,0,5.424878049,21.14740326
1/23/2019,8,0,0,6.572718922,16.48927649
1/23/2019,9,0,0,5.515330627,7.259841595
1/23/2019,11,0,0,6.756629897,3.706698113
1/23/2019,12,0,0,9.586913908,14.36274524
1/23/2019,13,0,0,11.46285649,15.08668106
1/23/2019,14,0,0,9.029904092,3.093589744
1/23/2019,15,0,0,3.935294118,9.85527416
1/23/2019,17,0,0,2.245714286,13.69812579
1/23/2019,18,0,0,3.449174312,12.65503608
1/23/2019,19,0,0,13.97675152,6.169755544
1/23/2019,21,0,0,6.634658386,9.818742857
1/24/2019,5,0,0,8.396,3.544817518
1/24/2019,7,0,0,6.974294871,3.430235294
1/24/2019,8,0,0,16.48927649,14.64196152
1/24/2019,9,0,0,7.259841595,6.817907702
1/24/2019,10,0,0,10.12606656,3.419695431
1/24/2019,11,0,0,3.706698113,10.66437024
1/24/2019,13,0,0,15.08668106,12.29217268
1/24/2019,14,0,0,3.093589744,19.42331314
1/24/2019,15,0,0,9.85527416,3.84
1/24/2019,18,0,0,12.65503608,10.46981055
1/24/2019,19,0,0,6.169755544,3.375584416
1/24/2019,20,0,0,6.186553846,9.325047439
1/24/2019,21,0,0,9.818742857,3.365641026
1/24/2019,22,0,0,3.123,2.536451613
1/24/2019,23,0,0,6.474705882,6.59958042
1/25/2019,4,0,0,13.38209302,5.628333333
1/25/2019,5,0,0,3.544817518,3.797952756
1/25/2019,6,0,0,21.14740326,5.167764706
1/25/2019,7,0,0,3.430235294,7.114257015
1/25/2019,8,0,0,14.64196152,9.366472431
1/25/2019,9,0,0,6.817907702,6.819557936
1/25/2019,10,0,0,3.419695431,4.299051522
1/25/2019,11,0,0,10.66437024,12.14036568
1/25/2019,12,0,0,14.36274524,8.317916388
1/25/2019,13,0,0,12.29217268,9.634929481
1/25/2019,14,0,0,19.42331314,12.88740325
1/25/2019,15,0,0,3.84,9.969908888
1/25/2019,16,0,0,14.67376224,7.956666667
1/25/2019,18,0,0,10.46981055,12.71577699
1/25/2019,19,0,0,3.375584416,16.07897788
1/25/2019,20,0,0,9.325047439,1.978894009
1/25/2019,22,0,0,2.536451613,6.598571429
1/26/2019,5,0,1,3.797952756,7.0572
1/26/2019,7,0,1,7.114257015,7.078085106
1/26/2019,8,0,1,9.366472431,13.069656
1/26/2019,10,0,1,4.299051522,7.251981778
1/26/2019,11,0,1,12.14036568,16.50924114
1/26/2019,13,0,1,9.634929481,12.39178394
1/26/2019,14,0,1,12.88740325,14.01305854
1/26/2019,15,0,1,9.969908888,29.3105383
1/26/2019,16,0,1,7.956666667,14.52301004
1/26/2019,17,0,1,13.69812579,7.18771867
1/26/2019,19,0,1,16.07897788,5.466803
1/26/2019,20,0,1,1.978894009,12.19772893
1/26/2019,21,0,1,3.365641026,5.412580645
1/26/2019,22,0,1,6.598571429,13.32340803
1/27/2019,5,0,1,7.0572,7.142580645
1/27/2019,7,0,1,7.078085106,2.758636364
1/27/2019,8,0,1,13.069656,2.666065574
1/27/2019,9,0,1,6.819557936,3.067933884
1/27/2019,10,0,1,7.251981778,6.136299213
1/27/2019,12,0,1,8.317916388,6.83
1/27/2019,13,0,1,12.39178394,24.90057517
1/27/2019,16,0,1,14.52301004,8.30199185
1/27/2019,17,0,1,7.18771867,6.608832891
1/27/2019,18,0,1,12.71577699,3.409065421
1/27/2019,19,0,1,5.466803,3.151468531
1/27/2019,20,0,1,12.19772893,7.092439024
1/27/2019,21,0,1,5.412580645,3.327
1/27/2019,22,0,1,13.32340803,8.055
1/28/2019,0,0,0,6.678461538,6.812307692
1/28/2019,1,0,0,6.648,6.697241379
1/28/2019,5,0,0,7.142580645,9.550165818
1/28/2019,6,0,0,5.167764706,5.127142857
1/28/2019,7,0,0,2.758636364,3.43210084
1/28/2019,8,0,0,2.666065574,12.99716197
1/28/2019,9,0,0,3.067933884,6.949576649
1/28/2019,10,0,0,6.136299213,3.511232877
1/28/2019,12,0,0,6.83,11.01735997
1/28/2019,13,0,0,24.90057517,10.07549256
1/28/2019,14,0,0,14.01305854,10.92704155
1/28/2019,15,0,0,29.3105383,7.68229665
1/28/2019,16,0,0,8.30199185,21.30057562
1/28/2019,17,0,0,6.608832891,11.98439171
1/28/2019,18,0,0,3.409065421,12.56485867
1/28/2019,21,0,0,3.327,9.417868811
1/28/2019,23,0,0,6.59958042,3.970184502
1/29/2019,4,0,0,5.628333333,7.14
1/29/2019,6,0,0,5.127142857,5.338994413
1/29/2019,7,0,0,3.43210084,2.469677419
1/29/2019,8,0,0,12.99716197,23.93035709
1/29/2019,10,0,0,3.511232877,7.013452016
1/29/2019,11,0,0,16.50924114,7.829274326
1/29/2019,12,0,0,11.01735997,7.584
1/29/2019,13,0,0,10.07549256,6.427912088
1/29/2019,14,0,0,10.92704155,17.21646152
1/29/2019,15,0,0,7.68229665,5.983931624
1/29/2019,16,0,0,21.30057562,6.562105263
1/29/2019,17,0,0,11.98439171,21.53000558
1/29/2019,18,0,0,12.56485867,3.312380952
1/29/2019,19,0,0,3.151468531,13.86107234
1/29/2019,20,0,0,7.092439024,10.70255814
1/30/2019,4,0,0,7.14,12.05046729
1/30/2019,5,0,0,9.550165818,4.031803279
1/30/2019,6,0,0,5.338994413,5.229677419
1/30/2019,7,0,0,2.469677419,5.164778761
1/30/2019,8,0,0,23.93035709,23.70677545
1/30/2019,9,0,0,6.949576649,7.40465748
1/30/2019,10,0,0,7.013452016,3.096237624
1/30/2019,11,0,0,7.829274326,10.54581382
1/30/2019,12,0,0,7.584,3.378157895
1/30/2019,13,0,0,6.427912088,5.22267945
1/30/2019,15,0,0,5.983931624,12.83699067
1/30/2019,16,0,0,6.562105263,13.08594546
1/30/2019,17,0,0,21.53000558,12.03292308
1/30/2019,18,0,0,3.312380952,22.70454993
1/30/2019,20,0,0,10.70255814,2.894042553
1/30/2019,23,0,0,3.970184502,7.243448276
1/31/2019,4,0,0,12.05046729,7.0995
1/31/2019,6,0,0,5.229677419,3.896
1/31/2019,7,0,0,5.164778761,2.68487395
1/31/2019,8,0,0,23.70677545,23.71204541
1/31/2019,10,0,0,3.096237624,5.616346154
1/31/2019,11,0,0,10.54581382,6.897692308
1/31/2019,12,0,0,3.378157895,22.35601332
1/31/2019,16,0,0,13.08594546,14.30757337
1/31/2019,17,0,0,12.03292308,19.15803571
1/31/2019,18,0,0,22.70454993,3.028474576
1/31/2019,19,0,0,13.86107234,10.13002105
1/31/2019,20,0,0,2.894042553,4.302445415
1/31/2019,22,0,0,8.055,6.786994819
2/1/2019,5,0,0,4.031803279,7.04
2/1/2019,7,0,0,2.68487395,3.057818182
2/1/2019,8,0,0,23.71204541,27.23910734
2/1/2019,9,0,0,7.40465748,10.291728
2/1/2019,10,0,0,5.616346154,7.105520362
2/1/2019,11,0,0,6.897692308,7.677647058
2/1/2019,12,0,0,22.35601332,15.63128304
2/1/2019,14,0,0,17.21646152,15.95684492
2/1/2019,15,0,0,12.83699067,9.975430279
2/1/2019,16,0,0,14.30757337,7.243308271
2/1/2019,17,0,0,19.15803571,11.50619469
2/1/2019,18,0,0,3.028474576,10.06790525
2/1/2019,19,0,0,10.13002105,9.193558343
2/1/2019,20,0,0,4.302445415,3.168428571
2/2/2019,9,0,1,10.291728,20.65583016
2/2/2019,10,0,1,7.105520362,10.91991285
2/2/2019,11,0,1,7.677647058,9.235037594
2/2/2019,12,0,1,15.63128304,10.01104276
2/2/2019,13,0,1,5.22267945,10.95144778
2/2/2019,14,0,1,15.95684492,1.847727273
2/2/2019,15,0,1,9.975430279,7.298928571
2/2/2019,17,0,1,11.50619469,8.012916667
2/2/2019,20,0,1,3.168428571,14.49136642
2/3/2019,5,0,1,7.04,7.183255814
2/3/2019,6,0,1,3.896,7.047983193
2/3/2019,7,0,1,3.057818182,4.073230769
2/3/2019,8,0,1,27.23910734,11.95359503
2/3/2019,10,0,1,10.91991285,21.55871446
2/3/2019,11,0,1,9.235037594,7.133684211
2/3/2019,12,0,1,10.01104276,5.695123967
2/3/2019,14,0,1,1.847727273,3.389032258
2/3/2019,16,0,1,7.243308271,12.03244954
2/3/2019,21,0,1,9.417868811,3.336666667
2/4/2019,4,0,0,7.0995,7.148148148
2/4/2019,6,0,0,7.047983193,10.08993869
2/4/2019,7,0,0,4.073230769,3.170204082
2/4/2019,8,0,0,11.95359503,7.378745875
2/4/2019,9,0,0,20.65583016,6.827892935
2/4/2019,10,0,0,21.55871446,2.419120879
2/4/2019,12,0,0,5.695123967,10.77149039
2/4/2019,13,0,0,10.95144778,11.18757625
2/4/2019,14,0,0,3.389032258,5.613844086
2/4/2019,15,0,0,7.298928571,11.8282422
2/4/2019,16,0,0,12.03244954,3.104628099
2/4/2019,17,0,0,8.012916667,11.26182353
2/4/2019,18,0,0,10.06790525,15.7191039
2/4/2019,21,0,0,3.336666667,3.388695652
2/4/2019,23,0,0,7.243448276,7.126472149
2/5/2019,7,0,0,3.170204082,9.898065615
2/5/2019,8,0,0,7.378745875,3.163352601
2/5/2019,9,0,0,6.827892935,11.34088907
2/5/2019,10,0,0,2.419120879,6.240916257
2/5/2019,11,0,0,7.133684211,3.153196721
2/5/2019,13,0,0,11.18757625,3.848888889
2/5/2019,14,0,0,5.613844086,9.821521739
2/5/2019,15,0,0,11.8282422,6.747169811
2/5/2019,16,0,0,3.104628099,5.85
2/5/2019,17,0,0,11.26182353,6.691287081
2/5/2019,18,0,0,15.7191039,6.8025
2/5/2019,23,0,0,7.126472149,7.02
2/6/2019,8,0,0,3.163352601,8.64584995
2/6/2019,9,0,0,11.34088907,10.2423
2/6/2019,10,0,0,6.240916257,3.3372
2/6/2019,12,0,0,10.77149039,16.12145471
2/6/2019,14,0,0,9.821521739,11.68195608
2/6/2019,16,0,0,5.85,5.913782895
2/6/2019,17,0,0,6.691287081,7.302758621
2/6/2019,18,0,0,6.8025,5.178128104
2/6/2019,19,0,0,9.193558343,13.59563198
2/7/2019,5,0,0,7.183255814,7.123917526
2/7/2019,8,0,0,8.64584995,5.935643489
2/7/2019,9,0,0,10.2423,3.571888112
2/7/2019,10,0,0,3.3372,4.298307692
2/7/2019,11,0,0,3.153196721,14.94584362
2/7/2019,12,0,0,16.12145471,13.82955166
2/7/2019,13,0,0,3.848888889,8.979349776
2/7/2019,14,0,0,11.68195608,10.69937923
2/7/2019,16,0,0,5.913782895,9.603909159
2/7/2019,17,0,0,7.302758621,13.48406241
2/7/2019,18,0,0,5.178128104,10.83636829
2/7/2019,19,0,0,13.59563198,9.01234374
2/7/2019,20,0,0,14.49136642,7.108695652
2/7/2019,21,0,0,3.388695652,13.63757703
2/7/2019,23,0,0,7.02,4.467246377
2/8/2019,5,0,0,7.123917526,7.149056604
2/8/2019,7,0,0,9.898065615,4.590821918
2/8/2019,8,0,0,5.935643489,8.684562527
2/8/2019,9,0,0,3.571888112,6.870746544
2/8/2019,10,0,0,4.298307692,2.834605263
2/8/2019,11,0,0,14.94584362,13.75370588
2/8/2019,12,0,0,13.82955166,9.029866071
2/8/2019,13,0,0,8.979349776,8.60022766
2/8/2019,14,0,0,10.69937923,2.968314607
2/8/2019,15,0,0,6.747169811,8.407754031
2/8/2019,16,0,0,9.603909159,3.213632287
2/8/2019,17,0,0,13.48406241,11.96518435
2/8/2019,18,0,0,10.83636829,7.001576471
2/8/2019,19,0,0,9.01234374,17.24753176
2/8/2019,20,0,0,7.108695652,2.457844311
2/8/2019,21,0,0,13.63757703,3.36
2/9/2019,0,0,1,6.812307692,3.455555556
2/9/2019,8,0,1,8.684562527,3.085081967
2/9/2019,9,0,1,6.870746544,3.474146341
2/9/2019,10,0,1,2.834605263,6.498461538
2/9/2019,11,0,1,13.75370588,7.644640244
2/9/2019,13,0,1,8.60022766,9.618741218
2/9/2019,14,0,1,2.968314607,9.7075
2/9/2019,15,0,1,8.407754031,4.721052632
2/9/2019,16,0,1,3.213632287,6.72
2/9/2019,18,0,1,7.001576471,14.5825207
2/9/2019,19,0,1,17.24753176,6.86699728
2/9/2019,22,0,1,6.786994819,6.533424658
2/9/2019,23,0,1,4.467246377,7.084909091
2/10/2019,5,0,1,7.149056604,7.1172
2/10/2019,8,0,1,3.085081967,16.37072401
2/10/2019,10,0,1,6.498461538,10.47740306
2/10/2019,11,0,1,7.644640244,5.553112878
2/10/2019,12,0,1,9.029866071,2.625245902
2/10/2019,13,0,1,9.618741218,2.343116883
2/10/2019,15,0,1,4.721052632,12.21138326
2/10/2019,16,0,1,6.72,4.579166667
2/10/2019,18,0,1,14.5825207,5.999680851
2/10/2019,21,0,1,3.36,6.981818182
2/10/2019,22,0,1,6.533424658,3.0890625
2/11/2019,5,0,0,7.1172,6.094883721
2/11/2019,6,0,0,10.08993869,3.744
2/11/2019,8,0,0,16.37072401,3.166956522
